id,trigger,conditions,script,text,options,notes
# Sampston fleet greeting lines,,,,,,
greetingSampstonFriendly,OpenCommLink,"$faction.id == SR
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Garbled but robotic static is heard before it clears up then: ""Reading $shipOrFleet. Identified, greetings $playerSirOrMadam. Is there anything you need?""
OR
Unintelligible computer noises are heard before it clears up then: ""Greetings, $playerName. This $PersonRank greets you.""
OR
Weird static is heard before it clears up then: ""Signal confirmed. $shipOrFleet. $playerName. This $PersonRank greets you.""",,
greetingSampstonHostileWeaker,OpenCommLink,"$faction.id == SR
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"There is only garbled static.
OR
Your comm isn't answered.
OR
High pitched computer noises are heard, you have to cut the comm before it deafens you.",cutCommLink:Cut the comm link,
greetingSampstonHostileWeakerDefiant,OpenCommLink,"$faction.id == SR
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"High pitched computer noises are heard then: ""$shipOrFleet prepared to be terminated.""
OR
Aggressive sounding static is heard before the comm is cut.
OR
High pitched computer noises are played over the comm before you can react, you almost faint before you can get it off.",cutCommLink:Cut the comm link,
greetingSampstonHostileStronger,OpenCommLink,"$faction.id == SR
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"Aggressive computer noises are heard then: ""$shipOrFleet, negotiation channels are closing.""
OR
High pitched unintelligible sounds are heard, your screen only shows a red X before it cuts.",cutCommLink:Cut the comm link,
greetingSampstonNeutral,OpenCommLink,"$faction.id == SR
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Garbled but robotic static is heard before it clears up then: ""Reading $shipOrFleet. Go ahead with request.""
OR
Weird static is heard before it clears up then: ""Signal confirmed. $shipOrFleet. $playerName. You are greeted by this $PersonRank.""",,
,,,,,,
# Sampston Trade panel flavor text,,,,,,
flavorTextMarketSampston,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == SR","AddText ""The port concourse is neatly lined with several ships of various size, there is small to medium gatherings of crew and passengers moving in organized groups to their designated lots, some on hovering transport shuttles others walk, there is no real standing lines out here. Cargo is also smoothly offloaded and loaded within mere minutes, allowing for fast onloading and offloading. There is a distinct lack of market posters and advertisements aswell, the only posts being informational."" marketFlavorTextColor",,,
flavorTextMarketSampstonSmall,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$marketSize < 4
$stability > 1
$faction.id == SR","AddText ""The port concourse is neatly lined with smaller variety of ships, there is small gatherings of crew and passengers moving in organized groups to their designated lots, some on hovering transport shuttles others walk, there is no real standing lines out here. Cargo is also smoothly offloaded and loaded within mere minutes, allowing for fast onloading and offloading. There is a distinct lack of market posters and advertisements aswell, the only posts being informational."" marketFlavorTextColor",,,
flavorTextMarketSampstonUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 1
$faction.id == SR","AddText ""The port concourse is neatly lined with several ships of various size, crew and passengers are escorted by police drones on transport shuttles no one is allowed to be unattended. Cargo is still being smoothly offloaded and loaded despite the increased security."" marketFlavorTextColor",,,
flavorTextMarketSampstonVeryUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 0
$faction.id == SR","AddText ""The port concourse is lined with only a couple ships that are allowed to land at a time. Cargo, crew, and passengers are escorted on police shuttles to their designated destination. There is a noticable increase in the amount of patrolling police droids and drones."" marketFlavorTextColor",,,
,,,,,,
# Sampston relationship level descriptions,,,,,,
relLevelCooperativeSampston,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == SR",FireAll RelLevelMoreDescription,You are great,,
relLevelFriendlySampston,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == SR",FireAll RelLevelMoreDescription,You are good,,
relLevelWelcomingSampston,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == SR",FireAll RelLevelMoreDescription,You are okay,,
relLevelFavorableSampston,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == SR",FireAll RelLevelMoreDescription,You are neat,,
relLevelNeutralSampston,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == SR",FireAll RelLevelMoreDescription,You are?,,
relLevelSuspiciousSampston,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == SR",FireAll RelLevelMoreDescription,You are mean,,
relLevelInhospitableSampston,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == SR",FireAll RelLevelMoreDescription,You are evil,,
relLevelHostileSampston,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == SR",FireAll RelLevelMoreDescription,You must be terminated,,
relLevelVengefulSampston,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == SR",FireAll RelLevelMoreDescription,You will be terminated,,
#relLevelAmericaBaird,RelLevelMoreDescription,"$faction.id == SR
$global.gaKA_completed",,You are known to have performed work for Provost Baird of the Galatia Academy.,,
,,,,,,
# Eterra fleet greeting lines,,,,,,
greetingEterraFriendly,OpenCommLink,"$faction.id == UTFE
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","The screen flickers on, a friendly face broadcasted, then: ""Ahh... $playerSirOrMadam $playerName. How can I help?""
OR
The screen lights up, $hisOrHer countenance holds a genuine smile: ""$personName here. Shall we talk business?""
OR
A warm tone carries over the channel as the image sharpens: ""$playerSirOrMadam $playerName! Wonderful seeing you.""
OR
The feed stabilizes, a relaxed voice follows: ""$personRank $personName here. I've got time.""
OR
The screen comes to life with a light grin, then: ""What’s on your radar, $playerSirOrMadam?""
OR
The transmission hums softly as the display sharpens: ""Ah, $playerName. What can I do for you today?""",,
greetingEterraHostileWeaker,OpenCommLink,"$faction.id == UTFE
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"The screen flickers on, a nervous face broadcasted, then: ""Didn’t expect you... what do you want?""
OR
The screen lights up, $hisOrHer voice unsteady beneath a thin smile: ""$personName here. Let’s... keep this civil.""
OR
The feed stabilizes with visible hesitation: ""$personRank $personName. I’m listening, no tricks.""
OR
The transmission crackles, a wary tone follows: ""You’ve made your point, $playerSirOrMadam. Just do what you came to do.""
OR
The image resolves, and $hisOrHer shoulders tense: ""We don’t have to escalate this... do we?""
OR
The screen steadies, $hisOrHer eyes flicking off-screen: ""$personName. Let’s be professional.""
OR
A pause before the signal comes through, voice tight: ""$playerName. I’d prefer you let me pass.""
OR
The connection opens, $hisOrHer posture visibly guarded: ""If you’re here to push, $playerSirOrMadam... $theFaction stands behind me.""
OR
The interface stabilizes, $hisOrHer voice lower than usual: ""You’re not here for blood, right? There’s other options...""
OR
The broadcast engages, the words rushed and tense: ""No sudden moves, $playerSirOrMadam. Say what you need.""",,
